StockCode,Description,Revenue,Quantity,Orders,Customers,Avg_Price
10002,INFLATABLE POLITICAL GLOBE,6942.26,8671,362,164,0.9791553133514985
10002R,ROBOT PENCIL SHARPNER,20.57,4,3,0,5.133333333333333
10080,GROOVY CACTUS INFLATABLE,129.29,315,27,23,0.505
10109,BENDY COLOUR PENCILS,1.68,4,1,1,0.42
10120,DOGGY RUBBER,142.74,664,73,52,0.24013698630136987
10123C,HEARTS WRAPPING TAPE,254.41000000000003,650,63,39,0.7906349206349207
10123G,ARMY CAMO WRAPPING TAPE,165.55999999999997,2251,16,12,0.8205882352941177
10124A,SPOTS ON RED BOOKCOVER TAPE,24.36,58,18,18,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,14.28,33,10,9,0.462
10125,MINI FUNKY DESIGN TAPES,1715.78,2103,167,87,0.930635838150289
10133,COLOURING PENCILS BROWN TUBE,2373.26,3837,289,153,0.7457093425605537
10134,COLOURING PENCILS BROWN TUBE,721.13,625,52,44,1.2907407407407407
10135,COLOURING PENCILS BROWN TUBE,4566.21,4226,324,178,1.3985626911314983
10138,ASSORTED COLOUR JUMBO PEN,111.22,261,21,14,0.4776190476190476
11001,ASSTD DESIGN RACING CAR PEN,7408.65,4829,251,118,1.8730078125
15030,FAN BLACK FRAME,73.66,254,26,23,0.29
15034,PAPER POCKET TRAVELING FAN,1416.2600000000002,10153,255,123,0.357265625
15036,ASSORTED COLOURS SILK FAN,32967.03,44272,991,303,0.9932560483870967
15039,SANDALWOOD FAN,4345.62,5101,306,127,1.1448376623376624
15044A,PINK PAPER PARASOL,13210.85,4964,250,116,3.5974
15044B,BLUE PAPER PARASOL,4644.13,1670,189,97,3.5482539682539684
15044C,PURPLE PAPER PARASOL,3027.26,967,231,100,3.820387931034483
15044D,RED PAPER PARASOL,4559.650000000001,1596,227,105,3.438471615720524
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,857,321,6.25234752589183
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,1033,347,6.818394230769231
15056P,EDWARDIAN PARASOL PINK,12228.92,2473,344,186,6.234869565217392
15056bl,EDWARDIAN PARASOL BLACK,1456.3200000000002,116,87,0,12.562068965517243
15056n,EDWARDIAN PARASOL NATURAL,2170.4,173,116,0,12.549655172413793
15056p,EDWARDIAN PARASOL PINK,577.84,46,38,0,12.569473684210527
15058A,BLUE WHITE SPOTS GARDEN PARASOL,3153.73,476,148,76,8.550536912751678
