Date,Revenue,Quantity,Orders,Customers,Avg_Order_Value,Year,Quarter,Month,Week,Day,DayOfWeek,Weekend,Lag_1,Lag_7,Lag_14,Lag_30,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_STD_7,Rolling_STD_30,Revenue_Growth
2010-01-14,31550.9,13784,58,47,14.63399814471243,2010,1,1,2,14,3,0,22470.18,8736.75,42470.29,54351.23,37089.45142857143,26249.655,35635.19233333333,17220.828918209707,19038.61857320059,0.40412315344158345
2010-01-15,13507.9,8419,46,37,21.139123630672927,2010,1,1,2,15,4,0,31550.9,73039.89,11382.54,63172.58,28584.88142857143,26401.46642857143,33979.703,9457.829647858667,18718.1369878815,-0.5718695821672282
2010-01-17,17393.2,9911,40,35,16.149675023212627,2010,1,1,2,17,6,1,13507.9,30293.95,16322.95,73972.45,26741.91714285714,26477.91285714286,32093.728,10289.642415193895,17350.023486777383,0.2876316822007863
2010-01-18,21397.71,10333,40,32,11.399952051145444,2010,1,1,3,18,0,0,17393.2,23597.85,28017.28,40582.32,26427.611428571432,26005.086428571427,31454.241,10434.273025372413,17379.88971928314,0.23023422946898786
2010-01-19,33233.881,15274,47,41,18.190411056376576,2010,1,1,3,19,1,0,21397.71,37886.41,10849.35,9803.05,25762.964428571428,27603.9815,32235.2687,9705.438962631591,16893.019729385647,0.553151295161959
2010-01-20,19018.04,9477,37,31,17.102553956834534,2010,1,1,3,20,2,0,33233.881,40786.98,13445.8,24423.02,22653.11585714286,28001.998642857146,32055.1027,7271.498326116626,17007.64479516414,-0.42775145641280954
2010-01-21,27359.23,72900,48,47,23.93633420822397,2010,1,1,3,21,3,0,19018.04,22470.18,19114.34,44916.21,23351.55157142857,28590.919357142855,31469.870033333333,7482.729950906334,16851.181974387986,0.43859356695011664
2010-01-22,36786.17,18573,45,39,25.213276216586703,2010,1,1,3,22,4,0,27359.23,31550.9,8736.75,49476.23,24099.447285714286,30594.449357142854,31046.868033333336,8614.829334556487,16539.99729955624,0.3445615976765428
2010-01-24,15930.84,8846,50,48,12.962441008950366,2010,1,1,3,24,6,1,36786.17,13507.9,73039.89,40265.66,24445.58157142857,26515.231499999998,30235.707366666666,8154.735998768692,16668.515167489433,-0.5669339863323635
2010-01-25,22994.15,10038,57,44,13.918976997578694,2010,1,1,4,25,0,0,15930.84,17393.2,30293.95,44233.96,25245.717285714283,25993.81721428572,29527.713700000004,7603.588658283555,16503.702786326707,0.44337335633274844
2010-01-26,47166.99,22968,93,68,31.977620338983048,2010,1,1,4,26,1,0,22994.15,21397.71,23597.85,39447.89,28927.042999999998,27677.327214285713,29785.017033333334,10937.37694899786,16722.42143879882,1.0512604292831003
2010-01-27,28668.3,17837,56,47,18.99821073558648,2010,1,1,4,27,2,0,47166.99,33233.881,37886.41,22176.46,28274.817142857144,27018.890785714288,30001.411699999997,10772.631924987376,16662.464633045583,-0.3921956860083715
